name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
Galactic Apes,Ethereum,"18,092.77 ETH",703.53 ETH,0.058 ETH,0.8487 ETH,,"9,998","3,700"
CryptoBatz by Ozzy Osbourne,Ethereum,"16,841.88 ETH","2,338.61 ETH",0.185 ETH,1.5302 ETH,,"9,666","6,625"
MURI by Haus,Ethereum,"16,427.31 ETH","10,133.87 ETH",0.829 ETH,0.8771 ETH,,"10,000","6,311"
Mutant Cats,Ethereum,"16,284.26 ETH","1,855.13 ETH",0.185 ETH,0.6944 ETH,,"9,999","1,523"
Robotos,Ethereum,"15,158.07 ETH","6,355.21 ETH",0.54 ETH,0.623 ETH,,"9,998","5,676"
HYPEBEARS,Ethereum,"15,005.78 ETH",855.62 ETH,0.09 ETH,0.9219 ETH,,"9,999","4,669"
Kiwami,Ethereum,"13,763.47 ETH","10,639.4 ETH",0.5761 ETH,0.6097 ETH,,"10,000","4,562"
Summoners Arena Genesis Chest,BSC,"44,550,624.28 BUSD","1,707,920.03 BUSD",38 BUSD,"2,605.45 BUSD",,"15,000","3,102"
CryptoMories,Ethereum,"13,684.7 ETH","6,462.28 ETH",0.52 ETH,0.527 ETH,,"10,000","5,267"
C-01,Ethereum,"13,634.96 ETH","1,809.59 ETH",0.189 ETH,1.1016 ETH,,"8,888","4,905"
Koala Intelligence Agency,Ethereum,"12,985.58 ETH",607.81 ETH,0.049 ETH,0.6652 ETH,,"10,000","5,028"
Crypto Bull Society,Ethereum,"12,810.94 ETH","3,602.15 ETH",0.44 ETH,1.2896 ETH,,"7,777","4,289"
The Heart Project,Ethereum,"12,378.17 ETH","2,473.98 ETH",0.21 ETH,0.521 ETH,,"9,884","5,841"
Crypto Chicks,Ethereum,"12,312.31 ETH","4,547.09 ETH",0.33 ETH,0.5515 ETH,,"9,999","4,484"
Forgotten Runes Wizards Cult,Ethereum,"12,296.71 ETH","23,993.7 ETH",2.35 ETH,0.8418 ETH,,"9,393","2,830"
Sevens,Ethereum,"12,156.96 ETH","1,474.26 ETH",0.1317 ETH,1.0419 ETH,,"7,000","3,281"
Peaceful Groupies,Ethereum,"11,923.99 ETH","1,811.35 ETH",0.15 ETH,0.5657 ETH,,"10,000","2,293"
FVCK_CRYSTAL//,Ethereum,"11,244.8 ETH","6,482.2 ETH",1.2968 ETH,2.3118 ETH,,"4,169","2,287"
CryptoDads,Ethereum,"11,061.36 ETH","1,593.19 ETH",0.119 ETH,0.6912 ETH,,"10,000","7,158"
ZombieClub Token,Ethereum,"10,919.31 ETH","16,649.21 ETH",1.95 ETH,2.5668 ETH,,"6,666","3,562"
Animetas,Ethereum,"10,878.29 ETH","1,704.61 ETH",0.125 ETH,0.5609 ETH,,"10,101","4,121"
Tasty Bones,Ethereum,"10,732.73 ETH","2,932.47 ETH",0.48 ETH,1.463 ETH,,"5,049","3,431"
the littles,Ethereum,"10,643.96 ETH","3,492.62 ETH",0.28 ETH,0.5968 ETH,,"10,000","5,566"
Dour Darcels,Ethereum,"10,152.77 ETH","6,757.98 ETH",0.5 ETH,0.5562 ETH,,"10,000","4,875"
WonderPals,Ethereum,"9,925.14 ETH","4,386.08 ETH",0.319 ETH,0.871 ETH,,"10,000","6,825"
Gambling Apes,Ethereum,"9,759.77 ETH","3,374.74 ETH",0.39 ETH,0.6144 ETH,,"7,777","3,705"
Quirkies,Ethereum,"9,640.68 ETH","16,121.57 ETH",2.74 ETH,0.6982 ETH,,"5,000","2,188"
OnChainMonkey,Ethereum,"9,545.28 ETH","17,614.56 ETH",1.4 ETH,0.5624 ETH,,"9,500","3,017"
ALPACADABRAZ,Ethereum,"9,483.6 ETH","3,784.79 ETH",0.314 ETH,0.6271 ETH,,"9,669","4,429"
SlimHoods,Ethereum,"9,456.99 ETH","2,418.43 ETH",0.55 ETH,0.6988 ETH,,"5,000","2,844"
The Wicked Craniums,Ethereum,"9,244.41 ETH","2,052.66 ETH",0.103 ETH,0.405 ETH,,"10,762","4,453"
Bored Bunny,Ethereum,"9,170.96 ETH",517.4 ETH,0.0639 ETH,0.9314 ETH,,"4,999","3,702"
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
CryptoPunks,Ethereum,"883,641.07 ETH","600,519.65 ETH",--,44.7 ETH,,"9,999","3,424"
Bored Ape Yacht Club,Ethereum,"486,515.26 ETH","1,193,350.21 ETH",110.9 ETH,19.07 ETH,,"9,999","6,416"
Mutant Ape Yacht Club,Ethereum,"307,927.98 ETH","499,407.29 ETH",25.99 ETH,10.72 ETH,,"18,582","12,293"
Azuki,Ethereum,"177,615.33 ETH","340,807.25 ETH",26.63 ETH,8.2405 ETH,,"10,000","5,464"
CLONE X,Ethereum,"168,584.56 ETH","425,433.62 ETH",19 ETH,11.58 ETH,,"19,187","8,874"
WIN NFT HORSE,BSC,"444,309,206.55 BUSD","1,372,243,571.9 BUSD",272 BUSD,"57,770.02 BUSD",,"10,000",878
Doodles,Ethereum,"102,261.95 ETH","164,530.38 ETH",15.98 ETH,4.9054 ETH,,"10,000","4,622"
Meebits,Ethereum,"101,943.79 ETH","107,702.48 ETH",4.3 ETH,5.3947 ETH,,"20,000","6,198"
Cool Cats,Ethereum,"97,756.85 ETH","89,434.56 ETH",8.4 ETH,3.6147 ETH,,"9,941","5,385"
Bored Ape Kennel Club,Ethereum,"79,794.69 ETH","78,886.76 ETH",7.6 ETH,4.0709 ETH,,"9,602","5,511"
Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,051 ETH",1.95 ETH,6.383 ETH,,"7,779","2,566"
Cryptoadz,Ethereum,"64,670.39 ETH","23,089.6 ETH",2.898 ETH,3.2823 ETH,,"7,014","3,997"
World of Women,Ethereum,"64,364.61 ETH","88,572.78 ETH",8.269 ETH,2.7742 ETH,,"10,000","5,323"
Genesis StarSharks Mystery Box,BSC,"197,246,211.33 BUSD","88,284,305.09 BUSD",450 BUSD,"15,480 BUSD",,"10,000",339
CyberKongz,Ethereum,"53,808.48 ETH","24,999.28 ETH",5 ETH,8.7679 ETH,,"5,000","2,375"
Pudgy Penguins,Ethereum,"52,461.17 ETH","27,652.21 ETH",2.4 ETH,1.5079 ETH,,"8,888","4,361"
HAPE Prime,Ethereum,"52,273.7 ETH","12,318.61 ETH",1.3 ETH,5.814 ETH,,"8,192","5,414"
Veefriends,Ethereum,"49,033.09 ETH","178,295.47 ETH",15.1 ETH,11.94 ETH,,"10,255","5,247"
0n1 Force,Ethereum,"48,088.24 ETH","6,338.52 ETH",0.718 ETH,2.4038 ETH,,"7,777","4,300"
MekaVerse,Ethereum,"48,066.63 ETH","6,844.23 ETH",0.669 ETH,3.6116 ETH,,"8,888","4,780"
NFT Worlds,Ethereum,"42,909.51 ETH","95,822.49 ETH",8.8 ETH,2.3111 ETH,,"10,000",804
